"comment","pol","Topic"
"""       اشتركو في قناة الجيش الوطني الشعبي فيها الجديد    ://   .   .   /   /   ","-1","politique"
" ""كل شهر عندنا #قرعة فيها فرصة واحدة للفوز من #المعجبين_بالصحة ، الفائز بالقرعة لا يدفع لنا مقابل و نقوم له بكل الإجرءات في سبيل الله 💚   ://   .   .   /كل-ما-يخص-فيزا-كندا-الدراسية-و-السياحية-للجزائريين-100568145501901/","-1","emegration"
" وزير التربية","0","Éducation"
"اوضاع حالية لتي تعيشينها جراء جائحة كورونا","0","sociale"
"امنتك","0","sociale"
"الجزائر من  1962 وهم ينتخبون ولم يخرجوا من الأزمة لأن النطام هوة الأزمة","0","politique"
"""قناتنا على التلغرام نعرض كل تخفيضات ونصائح للشراء من مختلف المتاجر على    🎉🎊🎁 الرابط  :  :// . / 12","0","reseau social"
"راهم يتفرجو في اليوتوب هذو.. ...","0","sociale"
"طلڨولي كونكسيو قاوية نبراطلكم جميع المواقع العلنية والسرية بهاتف كوندور","0","sociale"
"هكر","0","reseau social"
"دائما وابدا الصحراء مغربية","-1","politique"
"لآ حول ولا قوة إلا بالله العلي العظيم فإن لم تستحي ففعل ماشئت","0","sociale"
"وهدي علها ميروحش الاوربا","0","sociale"
"   😂😂😂😂😂    نكره الي يلبسوها🤮","-1","sociale"
"صباح الهيبة مالا 😂","1","sociale"
"      @  _   أين الهيبة أنا لا أراها 😒😒","1","sociale"
"يجب أن يكون لقاء @  _   هو أفضل شيء حدث لي هذا العام!  إن التسجيل والانضمام إلى برنامج    يشبه ببساطة الحصول على فرصة جديدة للحياة!  لطالما كانت الاستثمارات مهمة جدًا بالنسبة لي!  لقد جربت الكثير من الأساليب من قبل ، لكن هذه الطريقة استثنائية فقط ، كل صخبتي ، الصباح الباكر ، والليالي المتأخرة وخيبات الأمل تؤتي ثمارها أخيرًا منذ أن شاركت معكم   _  . لقد تلقيت 25000 دولار في محفظتي","0","business"
"ساعه ضحكو عليهم ساعة ولاو هيبة 😂😂","1","sociale"
"ماهو هيبة ماوالو","0","sociale"
"باطل ومنديهاش 😂","1","blague"
"الهيبة :    👀","1","blague"
"قلت هيبة 😂😂 صحا صحا صحاااا","1","blague"
"با نتقيأ😂","1","blague"
"لخرطي 🤦‍♂️","-1","sociale"
"هذي أودي راك لابسها ولا شنو صباط وخلاص يبقى مجرد حذاء","0","sociale"
"🔥🔥🔥🔥 ريبوندي على سطوري 🔥🔥🔥🔥🔥🔥🔥🔥 ريبوندي على سطوري 🔥🔥🔥🔥🔥🔥🔥🔥 ريبوندي على سطوري 🔥🔥🔥🔥","1","reseau social"
"صاحا","1","blague"
"الرجلة ياااه 😂","1","sociale"
"هيبة ومابعدها هيبة 😂وااع","1","blague"
"مفهمتش علاه نشوفهم كامل كيف كيف فحياتي مالبستها و منلبسهاش","0","sociale"
"يعيف","-1","sociale"
"الهيبة : مالا انا نروح 😂😂","1","blague"
"عاااق واش من هيبة فيها انا لا اراها","-1","blague"
"مش تع 350 الف😂😂😂","1","sociale"
"انا هادي شفت يلبسوها غير لي يقعد شهر ما يدوش وطايح خشين ورجلة  شحال نكرهم ياه","-1","sociale"
"علامة من علامات الجهل و لاعلاقة بلفاشن و زيدلها لاكوست 🤮","-1","sociale"
"😂😂😂😂 سحرته وحدة مريولة 😂😂","1","sociale"
"العشق الافعى المسمومة خاصة في الاسود","1","sociale"
"@  16 ❤️كحل العيون السود","1","sociale"
"كاين ناس عمرهم مالبسوها كيما أنا ولا لا؟ 😂","1","sociale"
"صباح نووور❤️❤️","1","salutation"
"جامي","0","sociale"
"@_  _  _ واشبيك","-1","sociale"
"@  _  _  _  _09 لهيبة فبليدا😢😍","1","sociale"
"هيب في هذي🙂واو","1","sociale"
"@  6447 غي المشاكل لاهيبة لا والو هههه","1","sociale"
"يصنعوها سبيصيال ليكم مكانش لي يشريها عليهم","-1","sociale"
"هدي باسكات تع نميلو ومنطيحوش 🤮🤮😑","-1","sociale"
"@  _   هههه اواه لالا لي يلبسها هيبة تاعو باينة مع أنو منحبهاش هههه","1","sociale"
"      9   جامي لبستها مفهمتش وين راهي الهيبة 😂","1","sociale"
"🤣🤣🤣وي بزاف الله يبارك","1","sociale"
"كانت هيبة ودرك ولات وهيبة 😂😂","1","sociale"
"@  ._.  ._.   نقص ناي😮","-1","sociale"
"رجلين تاع معزة","-1","sociale"
"4         ربعة ملاين ثان هيبة نورمالمون","1","sociale"
"هيبة 😂","1","blague"
"😂😂😂😂😂 باين الادمن تمساح😂","1","sociale"
"     3            4       200    أعتذر من جميع من يرتديها ذكور او إناث لكن 🤮🤮🤮","-1","sociale"
"تاع الكعب 🤮","-1","sociale"
"حذاء القهويين 🤢🤢🤢","-1","sociale"
"كل واحد يلبسها نحسو كيلو","-1","sociale"
"@  _  _              3   'é   يعععق😂🤢","-1","blague"
"@  ._.    @  _    حسيت تومي هوا اكتب هادا كتيبة😂","1","blague"
"            3            هيبة عند مجتمع بورخسون 😂","-1","blague"
"333","0","sociale"
"منلبسهاش لوكان تمدهالي باطل","0","sociale"
"زربت روحك شوية 🙆🙆","1","sociale"
"هادي وهيبة ماشي هيبة","1","sociale"
"المريولين 🐊🐊🐊😂😂","1","sociale"
"           3  9      3   3     3        3   ’é            3   @  19        4          3     33    ختك مشي الهيبة","-1","sociale"
"كارنفال في دشرة الجزء 20","-1","blague"
"راك روطار....مهزلة....اين المسؤلية....ومتى اصبح من لايتحملون مسؤلياتهم مسؤلين....","-1","politoque"
"نضحك شوية برك ههههه","1","blague"
"ههههه ههه هاذو جماعة مكاش إنتخابات مع العصبات كي ولات في 40مليون يلا إنتخابات ههههههه","-1","politique"
"    هيا نحرقو","-1","politique"
"والله تقول رنا عايشين في غابة وجوه البوخص","-1","sociale"
"الى اين بهذه المهازل والفضائح","-1","politique"
"تبهدايل 🤣🤣🤣🤣🤣🤣🤣","1","sociale"
"لا عيط بي لكم خير تووووو","-1","sociale"
"بصفتي مواطن جزاءري لا اريد. القضاء على الفساد اريد حصتي من الفساد وشكرا ،،،،","-1","politique"
"العيب مش منو هو ، العيب من الشعب الهروال","-1","sociale"
"انتخبوا بالهتف","-1","politique"
"""عخخخخخ تحية للحضور الذين اجهشوا بالبكاء والتصفيقات والزغاريد عخخخخ","1","politique"
"- عاجل 📢🔴‏ اليابان تتجسس على هواتف الشعب الجزائري :1- آلو : دقيقة و نكون عندكالمترجم : سيدي إنهم سريعون جداً ، دائماً لايحتاجون إلا دقيقة لفعل أي شيء 😂2- آلو : ماتمشيش وما تجيشالمترجم : سيدي إنهم يمشون ويجيؤون في نفس الوقت 😂3- آلو : راني قاعد نمشي قريب نوصلالمترجم :  إنهم يمشون وهم جالسون 😂‏4-آلو : اسمع اقعد واقف مع خوك ما تخليهش وحدوالمترجم:   404 😂5- آلو ولد خالي جيب الدار و ارواح تعشا معنا اللّيلهالمترجم :سيدي إنهم يأخذون منازلهم معهم 😂😂😂6- آلو : كرشي صبحت تجري المترجم : بطونهم مفصولة عن أجسادهم و تتحرك 🤔 !!مااهذاا !!!  يا إلهي !!؟!😂😂بداية النهاية","1","politique"
"الحمد لله كي راه بخير حملة الاستحمار","-1","politique"
"كل شيء ممكن عمر راسك يا خويا يا خويا زطشي","-1","politique"
"كبير اجايح","-1","politique"
"ياحبيبي","-1","politique"
"نعم .....انها المخدرات ......يا حيوانات .","-1","politique"
"تبهديل الجزائر جديدة","-1","politique"
"أنصح الأشخاص الذين يشعرون بالملل من كثرة الأخبار التافهة أن يتابعوا قناة #ابوظبي_الرياضية فيها (بعيرا) يجري منذ الخميس الماضي.","-1","politique"
"الجزائر الجديدة اونلاين","-1","politique"
"راه يهدر معاه ويصدفق تحسب راه مع فرعون","-1","politique"
"نعلة الله عليكم يا وجوه البخص","-1","politique"
"و صدق من قال فيهم ؛ جميع الفنون ابدعت و انتجت روائع الا ""السياسة"" فأنتجت ""مسوخا"" .","-1","politique"
"ليس تعدر عليه مايقدرش يطردوه وهداك لي راه يتكلم قوله يدور فيديو نشوفو شحال من واحد في  قاعة ههههه والله بلاك كاين زوج","1","politique"
"ميعرفش الطريق هههه","1","politique"
"في قاعة كاين غير التليفون و هداك لبغل","-1","politique"
"اواه جابلي ربي حنا الجزائريين لازمنا كوكب أخرى نعيشو فيه والله كارثة كارثة سبحان الله","-1","sociale"
" úṩ Ťä ä كل يوم تشوف غير الجديد هههههههه","1","sociale"
"نيفو ارض يديرو كلش من اجل المال والسلطة","-1","politique"
"كم اصابات اليوم","-1","Covid"
"ربي يلطف برك","-1","Covid"
"تجمعات تاع الحملة الانتخابية 🙄🙄🙄","-1","politique"
"وجدو الحالا مور ال وط أغلقوها","-1","politique"
"نورمالمو زادت بالاعراس التشريعية  🤔","-1","politique"
"جماعة أواخر رمضان و العيد","-1","politique"
"الموجة ثالثا","-1","politique"
"الوضع مقلق يجب سيطرته هذه الموجة الخامسة تنتشر بسرعة البرق يجب اخذ اللقاح في كل ربوع. البلاد","-1","politique"
"الجزائر رهي مكلصية 1 فلا كدب","-1","politique"
"بديتو  توجدو  فيها ما بعد الفوط","-1","politique"
"طلعت طلعت طلعت طلعت هبطت طلعت طلعت طلعت طلعت هبطت طلعت طلعت طلعت","-1","covid"
"جماعة الهملة الانتخابية الحمد الله الجالية مازالت في  ô","-1","politique"
"قداه محطيتيوش 😑","-1","covid"
"الغلقة عن قريب 🥴😂","-1","covid"
"و عدد الكدوبات","-1","politique"
"  يا ربي و يكثرو من التجمعات باه بوصبع ينقرض","-1","politique"
"دخلت طيارة وحدة طلعوها ل 300 كذب نورمال بلاد ميكي😂😂","1","covid"
"زيدو  حصلوها فالليزيميقري مزالو محطوش حتى كرعيهم وراكم مبلعين عليهم متبداوش تكذبو   بديتو طلعو فيها  شويا  ","-1","covid"
"مممم ضرك يزربو المغتربين يروحو حتى و يدفعوا ملاير لا يغلقوا الحدود زعما...  ","0","politique"
"هدا نتيجة الحملات الانتخابية والزردات لي راهم دايرينها صحاب الفريز وما يشبه خاطينا حنا الشعب غير ماكان لاه جي تخلعنا","-1","politique"
"والله الحالة صح مراهيش تشكر ما يحس بالجمرة غير لي كواتو سبيطارات راهم معمرين و المرض صح راهو واعر الواحد ما يستهزاش خير ما تطفر و يولي ندمان","-1","covid"
"واش من مرض هذاا 🤔🤔","1","covid"
"هدو لعشاوات نتاع الحملة الانتخابية","-1","politique"
"ورا 12 جوان رجعو الحجر متنساوش 😂😂          ","1","politique"
"التمني.... ك بلغ الزبى عندكم","-1","politique"
"ارتفاع في عدد الاصابات","-1","covid"
"بمعنى الكلمة14جوان يقفلو","-1","covid"
"راه تطلع بشوية ربي يجيب الخير للبلاد وربي يشفي جميع المرضى ويرحم الموتى","-1","covid"
"إنشاء الله 50  ","-1","covid"
"مزالكم الخرطي تاعكم  ","-1","politique"
"ربي يشافي المرضى وبرحم الموتى إن شاء الله 🙏 🙏🙏🙏 الله يبعد علينا البلاء إن شاء الله 🙏🙏🙏🙏","-1","covid"
"متخلعونش رانا عايشين معها هههههه","1","covid"
"الخرطي يازح متكرهوش","-1","politique"
"تجمعات تاع صحاب الكاشير الفاسد","-1","politique"
"ياتبون يهديك ربي اغلق مطرات ولحدود متغامروش بينا 😁","1","politique"
"هاذو نتاع تجمعات نتاع احزاب كشير يووو","-1","politique"
"ههمتخروش فيها مغاديش ننتاخبو كيمنهاك ليق تهود ليق هه","1","politique"
"جد باباك الحلوف","-1","politique"
"الكورونا ضربها بعين طلعت فليشة  ","1","covid"
"مازلتو تكدبو علينا والله غير عيب وعار مي تخلصوها عند العلي القدير ياولاد ؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟","-1","politique"
"كروبنا متواضع ( البيت السعيد ) مرحبا بكم لنكون عائلة واحدة🏡☺ :// . . / /172045974767382/ /172343111404335/","0","reseau social"
"خرطي عصابة            ","-1","politique"
"اللهم ارفع عنا هذا الوباء🙏🙏🤲🤲🚨🚨😷😷😥😥😭😭😃😃✈✈اللهم ارفع عنا هذا الوباء🙏🙏🤲🤲🚨🚨😷😷😥😥😭😭😃😃✈✈","-1","sociale"
"زيادة ملحوظة منذ بدا الهملة الانتخابية","-1","politique"
"هههههه قالك يحلو ا ولا حلو ولا راح يحلو طيران😂🙊 ياربي يفرجها والله تحير  يادرا جماعه طيران لباس","1","politique"
"اللّهمَ استجِب لِما نعجَزُ عن قولِه وما يصعُبُ علينا صِياغتُه وأنتَ تعلمُه  اللّهمَ تَقبَّل كلَّ دعوةٍ ساكنةٍ في صدورِنا ولا نعلمُ كيفَ نرفعُها إليكَ       🌸🖤🌸","1","religieux"
"خليها تتخذ  قبل شعب يسوفري كانو كي تعود، 300 يديرو الحجر وضرك كي عادو إنتخابات باقي كلش مفتوح يخي حالة يخي","-1","politique"
"هذو لي راهم يموتو معندهكش ماليهم هنا ههه","1","blague"
"علاه مزالت كاينة كورونا ؟ وزاد ترمون فتًح الحدود ،  مافهمنا والو في بلاد العصابة","-1","politique"
"الرحلات الجوية من فافا فتحت","-1","politique"
"سكروها ما تغمروش بنا والانتخابات تاني مكاش رانا خيفين ههههه","1","politique"
"مازلتو😕 وينا وباء هادا","-1","politique"
"لي رهو يقول مكاش الكورنا و رهم يكدبو علينا أنا نقولك حاجة و ديها من عندي صح مكاش الكرونا و رهم يكدبو علينا😒","-1","sociale"
"حتا انا نعرف نهدر خير منك 😏😏😒😒😒😒😒","0","politique"
"هههههه علبالهم وتا يصفقو وتا يسكتو ..","1","politique"
"تحرير ختك أمبعد سهل","-1","politique"
"تحرير الأرض والعرض؟؟؟؟؟😏","-1","politique"
"لي راهم يصفقوا..واش راهم ضاربين؟؟!!!","-1","politique"
"فاقوووووو ونص وخمسة وعشرين","-1","politique"
"تحياتنا","1","salutation"
"مهازل حرر نفسك","-1","politique"
" خيانة شعب","-1","politique"
"هادا هو اي رايح يفريها","-1","politique"
"ههههههه ههههههه او يدخل فهذوك لسفقو للاسلام","1","politique"
"معاك يا دغدغة ديري حالة... هههههههه","1","politique"
"قريب امنتك","-1","politique"
"كرف","-1","politique"
"او قيييييوو","-1","politique"
"بركاونا من الهف الشعب يعرف غير يسفق والله لا علاقة      ","-1","politique"
"منين جابوه هذا .. سلال كيما كان يخطب 😂😂","1","politique"
"حسبنا اللله ونعم الوكيل فيكم اكل","-1","politique"
"لك الله يا جزائر","-1","politique"
"الله لي يتربحكم","-1","politique"
"جميع واحد يلبس البرنوس ميفرحش","-1","politique"
"وكورونا ماكاش عندكم","-1","politique"
"مزالو يمنو بلغولة برك ويسفقو   ","-1","politique"
"يكذب ويزيد يكذب وعلبالو بلي الشعب علابالو بلي راهو يكذب","-1","politique"
"ندغدغ ندغدغ ههههههه","1","politique"
"خرا💩💩💩🤖💩","-1","politique"
"سمعت تحيا تبون .حجون يماك","-1","politique"
"اخطيونا من سياسة يرحم والديكم    ","-1","politique"
"وهذاك الي يشطح وش حكايتو🤔 حزب شطيح ورديح","0","politique"
"واش دارهالك في هذه السخانة ونت داير برنوس والله راك طايب🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣 حرر روحك  ","1","politique"
"او روحو فيقو على رواحكم      ","-1","politique"
"نعتلنا القاعة والجماعة إلي يصفقوا...!!! ؟؟؟  ","-1","politique"
"مكانش انتخابات مع العصبات","-1","politique"
"والله ماتحشمو","-1","politique"
"لمن تحكي زابورك","-1","politique"
"ههههه روح نعاونك باش تدي 40 مليون","1","politique"
"بابابا قريب امنتك","-1","politique"
"الكرونا غير فالمساجد","-1","politique"
"تحوس تعمر الشكارة","-1","politique"
"تبهدلو","-1","politique"
"تحيا دغدغينو والله شبعت ضحك ياسي دغدغينو انا ورقة انتخابي ستكون بيضاء مثل برنوسك   ","-1","politique"
"مزلتو تاكلو في دراهم الشعب","-1","politique"
"لكي الله ياجزائر","-1","politique"
"امشي تعطس على روحك","-1","politique"
"كورونا مكانش هنا","-1","politique"
"ريح في البريمة","-1","politique"
"شكون هذا المهرج ثاني . الشرعية و الهرولة إلى 30 مليون .","-1","politique"
"لا حول ولا قوة الا بالله العلي العظيم  نسيتو  الكورونا  هنا  مكانش في  هذه  التجمعات!!!!!!؟؟؟؟؟؟","-1","politique"
"الله يلعنكم وجوه الطمع","-1","politique"
"معندكمش كورونا ولا....","-1","politique"
"    نوايا","-1","politique"
"يو فقو بيكم","-1","politique"
"كان يسبح بحمد بوتفليقة","-1","politique"
"كذابين 😡😡😡😡","-1","politique"
"حسبونا الله ونعم الواكيل فيكم روح تصلي وتستغفر هذا الكلام غيركذب وما كانش الصح غير تقول وماتكملوش","-1","politique"
"برنوس فالسخانة ههههه بركاك من النصب والاحتيال","-1","politique"
"والله متحرر حتى روحك","-1","politique"
"الكرسي ههههههههههعهع","1","politique"
"يعرفو غير الثورة والشهداء وهمهم الوحيد بطونهم والله ماتحشمو    ","-1","politique"
"هو هو هو نابح ارابح","-1","politique"
"أو طبطب وتحميلها العود حطب..شبعنا مقروووووط....مقروووووط.....طيط طيط","-1","politique"
"يخي كذاب يخي بورور حرر قاعك قبل من النفاق","-1","politique"
"فاقو","-1","politique"
"يروح يخطب لدارهم","-1","politique"
"مازلنا بعقلية البرنوس و الكذب و التبلعيط و ملئ الصالات بصوميل للفرد ، توعدوا الشعب و بعد الإنتخابات واحد مايزيد يشوف رهوطكم ، الناس فاقت بيكم على من راكم تخرطوا اليوم","-1","politique"
"فيق مع روحك","-1","politique"
"لا انتخابات مع العصبات","-1","politique"
"وريوما الشعب","-1","politique"
"وين راهم شياتن","-1","politique"
"وين راه البرنامج","-1","politique"
"دورلنا تراش نشوفو الشعب هذا اي راكم تهدرو عليه","-1","politique"
"لي لقا الهيشر خلي يكرص بيهم","-1","politique"
"مزالت غير كورونا مراحتش كرهتونا 😏😏😏","1","covid"
"يا كورونا يهديك ربي","1","blague"
"الله المستعان","1","sociale"
"بعد البحث والتدقيق وبعد كثير من التجارب العلمية لقد اكتشفنا برحمة الله وعونه ان فيروس كورونا 💐مسلم 💐ويعيش في المساجد ويحب المتدينين وجاري البحث ان كان سني او شيعي او من طائفة اخرى","-1","politique"
"اللهم ابعد عنا الوباء","-1","covid"
"شكون كورونا🤔","1","covid"
"اول ضيف في رمضان عندي هي كورونا هههه","1","covid"
"الوباء من جه ودولة من جه 🙄🙄  ","1","politique"
"قديما هات جديد","-1","sociale"
"قناة لخراا مع كل إحتراماتي للخرااا","-1","sociale"
"اللهم بلغنا رمضان","1","religieux"
"قديما هدي شبعتونا مقرود  هتو لجديد","-1","sociale"
"  ههههه ولافنا بيها كورونا مرحبا  بي كورونا","1","sociale"
"أين الخلل 🤔 ؟؟","0","sociale"
"اللهم ارفع عنا هدا الوباء","-1","sociale"
"الزيت السميد كورونا كرهنا اقتلونا  وتهناو  ","-1","politique"
"الجزء الثاني من مسلسل كورنا رمضان","-1","sociale"
"بزايد من الكذب","-1","sociale"
"كرونا تع الجيب","-1","politique"
" كورونا قرعة زيت مكاش               ","-1","sociale"
"ههههه لحق رمضان باه منصلوش التراويح راهم بداو الكورونا  ","-1","sociale"
"  نداء عاجل إلى رئيس الجمهورية الجزائرية الديمقراطية الشعبية السيد عبد المجيد تبونوإلى والي ولاية سكيكدة السيد عبد القادر بن سعيدملفات التظلم الطعون طعون الضيق للقائمة المؤقتة المعلنة بتاريخ 2019/07/22م عنوان 1165 مشروع 1500 مسكن مسيون 2 ببلدية سكيكدة تنتظر منذ 20 عشرون شهرا بالضبط في إعلان ونشر نتائجها ؟ بالرغم من كون قانون توزيع السكن الإجتماعي في الجزائر ينص بصراحة ووضوح على ضرورة فصل لجنة الطعن في جميع الطعون خلال أجل أقصاه ثلاثون 30 يوم كما ينص بصراحة ووضوح على ضرورة إعلان ونشر النتائج النهائية مباشرة بعد إنقضاء هذه المدة خلال أجل أقصاه ثمانية وأربعون 48 ساعة الموالية ؟ كما نطالب ونريد معرفة متى بالضبط وبالتحديد سيتم إعلان ونشر الشطر الثاني (02) من القائمة الإسمية النهائية للمستفيدين من السكنات العمومية الإيجارية في شقه الضيق حصة 571 مسكن مشروع 1500 مسكن مسيون إثنين 02 المكملة لشطر الأول من القائمة الإسمية النهائية للمستفيدين من السكنات الإجتماعية العمومية الإيجارية المعلن عنها بتاريخ 2020/10/11م من أجل إستكمال القائمة الإسمية النهائية بشطريها الأول والثاني وتسليمها إلى مستحقيها في أقرب الآجال.","-1","politique"
"السلام عليكم ورحمة الله وبركاته الموضوع: طلب قبول الطلبة العشرة الأوائل في مسابقة الدكتوراه أتقدم الى سيادتكم المحترمة بطلبي المتواضع هاذا إلى حضرتكم و كلي ثقة في قراركم سيادة الوزيرتقبلوا مني فائق الاحترام و التقدير","1","éducation"
"او مزالت كورونا","0","covid"
"ههههه بديتو لرناكة تاعكم زعما كي مزال يومين لرمضان زعما تخلعو في الناس والله واحد ماراه سامع بيكم","1","politique"
"كذب","-1","sociale"
"كي قيتيو رمضان جاي بديتيو ديرو فالقوالب يااااااوقيييو😏😑😑","-1","politique"
"ااااه لاه مزالو يعطيو شعب راه فايق بلي لمرض مكانش","1","politique"
"خلا مك","-1","sociale"
"كون تمرض الجزائر  كلمه","-1","sociale"
"ربي، يشفيه من مرضو","-1","sociale"
"ولفنا بيها ...........الكرونا","-1","covid"
"كورونا غير في رمضان كيجي كاش انتخابات تختفي هاذو احصائيات 😏","1","politique"
"الكذب في النهار","-1","sociale"
"حكولنا على الزيت ودقيق بي شعلو اسعارهم الزوالي درك اول رمضان راه قاعد يشمس ومتكي للحيط","-1","sociale"
"إخلاص ديمودى هاذ لحكايات تاعكم","-1","sociale"
"كرونا روحي لتجار مبغاوش ينعلو بليس وينقصو فالخضرة😂","1","blague"
"  اكل ماهوا جديد اخبار داخل وخارج الوطن  :// . . / /1463177037337453/? =      ","0","reseau social "
"ومن أحيا نفسا فكأنما أحيا الناس جميعا 😢 :// . . /2145330625635070/ /2797840427050750/","-1","sociale"
"⛔آرفيا ( ) تفتح باب التسجيل للجزائرين🇩🇿 ⛔وفتحت مقرها🏫( è ) هذا الشهر في الجزائر🇹🇳🇩🇿فمرحبا بكل أخ 👨‍💼وأخت👩‍💼 جزائرية🇩🇿 كانت الأسبق باش تسجل تعمل كود و تاخو بلاصتها من الأوائل. 💪مع آرفيا 🌵🌵تنجم تبدأ مشروع يغيرلك حياتك فيه خدمة ساهلة وبالزاف ربح 💰💰فشاركنا النجاح وانطلق معنا نحو التألق في عالم التجارة الحرة وتمتع بشهرية 💴💰💴و سفرات✈️ و كادوات 🎁وعيش معانا الدلال 🎉🎉سجل في آرفيا ما دام التسجيل بلاش👍سجل وما تندمش لأن النجاح مضمون💪💰👈كل من يرغب في التسجيل أو الاستفسار يكتب انا","0","business"
"   :// . . /كل-ما-يخص-فيزا-كندا-الدراسية-و-السياحية-للجزائريين-100568145501901/","0","business"
"[تتحكمون كيفما ....","-1","politique"
" هبلتونا بهذي الكورونا انتاعكم،  ","-1","covid"
"الديوان الوطني للتعليم والتكوين عن بعد الديوان الوطني للتعليم والتكوين عن بعدالأصل ان يكون إسم على مسمىحتى إجراء الواجبات والفروض والامتحانات أيضا يكون عن بعد في إطار عصرنة التعليم الإلكترونيحتى أنه بالجامعة فيه بعض المواد تم إجراءها إلكترونيا وعن بعد عبر منصة مودل الإلكترونية .فما بالكم بطلبة التعليم عن بعدأرجو أن يكون الامتحان إلكتروني او على الاقل اختياري بين حضوري والالكتروني  ","0","éducation"
"حسبي الله و نعم و كيل كاين كاش واحد عايش علا شمع حنا عايشين علا شمع بناء فوضوي و بزيادة تهمة سرقة الكهرباء و بروسي بناء من غير رخصة علاش لوكان عندي وين نعيش ولا سكنا نسكن في بناء فوضوي مطلقة  و بنتي 3سنوات مريضة بلقلب (عملية ) لا دخل لا والو  وين رايحين بيها بنتي راهي تعاني لا مشتا ننغبنو تدخل علينا نو و برد  و صيف أفاعي ..........انا ماراني نطلب والو غير سكن","-1","politique"
"بالتوفيق و النجاح للجميع","1","sociale"
"نشاله ماريا تجيب باك ❤","1","éducation"
"الفروض ويكتا","0","éducation"
"هاقد قرعت طبول الحرب محمد بن ثامر","-1","sociale"
"ربي ينجحهم","1","éducation"
"ربي يوفقهم","1","éducation"
"كان غير معلنتش ياخي تاريخ ياخي","-1","éducation"
"  انا استاذة لغة إسبانية اقدم دروس سنة ثالثة ثانوي بأسلوب سهل جدا ادعموني بلايك و الاشتراك في القناة  :// . / -","0","éducation"
"ربي ينجح كل مجتهد ان شاء الله","1","éducation"
"شكرا","1","éducation"
"تسما شهر كامل مكانش كونكسيون","-1","éducation"
"والابتدائي وقتاه","0","éducation"
"ما لا تعرفه عن الجزائر🇩🇿🇩🇿🇩🇿🇩🇿👇👇👇 :// . . /106423614763928/ /127258599347096/? =","0","reseau social "
"سلام","1","sociale"
"سلام عليكم بجاه ربي عاونونا طلبو للوالد عملية وحنا معندناش اذا بغيتو ربي عاونونا  ديرو الخير فينا بضياف ربي 😢وڤالونا العملية لازم يديرها قبل رمضان والله غير ڤلبي راه محروڤ عليه والله العظيم معندناش من غير والدينا والله اذا بغيتو ربي عاونونا والله معندناش والله العلي العظيم ڤالونا لازم العملية قبل رمضان هذا الميساج لازم يوصل لل48ولاية لازم نلقاو لي يعاونونا","-1","sociale"
"بعض الكلاب تنبح بالفرنسية.. الله يهديكم ديرو ترجمان لهاذو الكلاب باش نفهمو كي ينبحوا","-1","sociale"
"  جبتلكم الجديد راك دور دور هاو ليكم تطبيق تربحو منو فلكسي تتفرج فديو وتلعب لي جو والدولارات يطلعو ومن بعد تحط رقمك يبعثولك دراهم فليكسي اسم التطبيق تلقاه في هذا الرابط وحملو من بلاي ستور .. :// 5. . . / _ /? =8 845 8376 8 3401770957 2 91","1","reseau social "
"إن شاءلله باالتوفيق للجميع","1","éducation"
"《 شَهْرُ رَمَضَانَ الَّذِي أُنزِلَ فِيهِ الْقُرْآنُ هُدًى لِّلنَّاسِ وَبَيِّنَاتٍ مِّنَ الْهُدَىٰ وَالْفُرْقَانِ ۚ فَمَن شَهِدَ مِنكُمُ الشَّهْرَ فَلْيَصُمْهُ ۖ وَمَن كَانَ مَرِيضًا أَوْ عَلَىٰ سَفَرٍ فَعِدَّةٌ مِّنْ أَيَّامٍ أُخَرَ ۗ يُرِيدُ اللَّهُ بِكُمُ الْيُسْرَ وَلَا يُرِيدُ بِكُمُ الْعُسْرَ وَلِتُكْمِلُوا الْعِدَّةَ وَلِتُكَبِّرُوا اللَّهَ عَلَىٰ مَا هَدَاكُمْ وَلَعَلَّكُمْ تَشْكُرُونَ (185) وَإِذَا سَأَلَكَ عِبَادِي عَنِّي فَإِنِّي قَرِيبٌ ۖ أُجِيبُ دَعْوَةَ الدَّاعِ إِذَا دَعَانِ ۖ فَلْيَسْتَجِيبُوا لِي وَلْيُؤْمِنُوا بِي لَعَلَّهُمْ يَرْشُدُونَ (186)","1","religieux"
"متوسطة وكتاه","0","éducation"
"  لي حاب يختم القرآن في رمضان هذا ينضم الينا :// . . / /221371629065043/","1","religieux"
